ACO_ID,Current_Track,Advanced_APM_track,N_AB,CapAnn_PB_per_bene,assigned_bene_partB_dollars
A4604,EN,Y,328733,3847,1264635851
A2342,EN,Y,154409,4462,688972958
A4641,EN,Y,147747,4026,594829422
A1033,EN,Y,134269,4479,601390851
A5160,EN,Y,126751,3224,408645224
A5279,E,Y,125041,5094,636958854
A1001,EN,Y,116175,6234,724234950
A2542,EN,Y,115862,4534,525318308
A2616,EN,Y,113505,3546,402488730
A3454,EN,Y,110957,4486,497753102
A1215,EN,Y,106242,4237,450147354
A4527,EN,Y,94272,3953,372657216
A4974,A,N,93021,3098,288179058
A5483,EN,Y,88907,3439,305751173
A3030,B,N,80410,6125,492511250
A3250,B,N,78716,4482,352805112
A2729,EN,Y,75120,3141,235951920
A2024,EN,Y,74756,5471,408990076
A2098,EN,Y,74586,4756,354731016
A3834,EN,Y,73142,4393,321312806
A4824,B,N,66951,5127,343257777
A4868,E,Y,63108,4265,269155620
A2057,EN,Y,61313,4469,274007797
A1552,E,Y,60279,3462,208685898
A3029,EN,Y,60139,4048,243442672
A5206,EN,Y,59926,4144,248333344
A1535,EN,Y,58857,3946,232249722
A2311,B,N,58633,6073,356078209
A4617,EN,Y,58614,3538,207376332
A1297,E,Y,57380,3029,173804020
A3566,E,Y,56030,3997,223951910
A4542,EN,Y,54712,3339,182683368
A3504,EN,Y,53594,3812,204300328
A3229,EN,Y,53573,6158,329902534
A5170,EN,Y,53282,4163,221812966
A1694,E,Y,50640,4170,211168800
A3473,EN,Y,49360,5797,286139920
A4931,EN,Y,49313,3389,167121757
A2500,EN,Y,49018,4130,202444340
A4548,EN,Y,48902,4181,204459262
A2975,B,N,48542,3882,188440044
A3675,B,N,47973,3934,188725782
A3325,B,N,46938,3713,174280794
A3289,EN,Y,46924,3164,148467536
A5033,EN,Y,45639,3313,151202007
A4671,E,Y,44984,5044,226899296
A5444,A,N,44625,4413,196930125
A4559,EN,Y,44401,4011,178092411
A3299,EN,Y,43818,5462,239333916
A3521,EN,Y,43623,6626,289045998
A5216,E,Y,43605,4461,194521905
A2598,B,N,42860,3317,142166620
A2419,EN,Y,42353,3767,159543751
A1262,B,N,41830,3263,136491290
A1026,E,Y,41640,5504,229186560
A3560,B,N,41356,3979,164555524
A1501,E,Y,41314,4920,203264880
A1247,B,N,41294,5593,230957342
A2571,A,N,40964,5838,239147832
A1490,B,N,40862,3593,146817166
A4949,EN,Y,40526,3559,144232034
A2735,E,Y,40346,3821,154162066
A3864,B,N,40178,5158,207238124
A3547,B,N,39999,3300,131996700
A4692,EN,Y,38705,3001,116153705
A3324,E,Y,38679,4546,175834734
A2592,EN,Y,38249,6129,234428121
A4922,EN,Y,38123,4197,160002231
A4803,B,N,38116,4640,176858240
A5088,EN,Y,37919,3945,149590455
A2550,EN,Y,37765,3805,143695825
A4938,EN,Y,37698,3917,147663066
A3563,B,N,37523,2957,110955511
A2029,EN,Y,37510,6130,229936300
A1290,B,N,36313,3629,131779877
A3644,B,N,35570,3305,117558850
A3273,EN,Y,35290,4001,141195290
A1061,EN,Y,34901,4812,167943612
A4999,EN,Y,34469,3419,117849511
A4771,A,N,34236,4607,157725252
A3458,EN,Y,33786,3992,134873712
A4626,E,Y,33687,3482,117298134
A2620,B,N,33622,5893,198134446
A5318,EN,Y,32860,4958,162919880
A2530,B,N,32639,4887,159506793
A3236,EN,Y,32466,4235,137493510
A3588,B,N,31948,6060,193604880
A3631,EN,Y,31863,4386,139751118
A1204,EN,Y,31836,4006,127535016
A2251,EN,Y,31621,4825,152571325
A2619,B,N,31394,2539,79709366
A3633,EN,Y,31154,4226,131656804
A5193,E,Y,30716,5119,157235204
A3053,E,Y,30081,4774,143606694
A5231,E,Y,30012,4600,138055200
A5124,E,Y,29787,3350,99786450
A1095,EN,Y,29464,4446,130996944
A2591,B,N,29213,3792,110775696
A5049,EN,Y,29173,6153,179501469
A1059,E,Y,28971,5847,169393437
A2164,EN,Y,28923,4341,125554743
A5040,EN,Y,28842,3786,109195812
A4775,EN,Y,28831,6575,189563825
A2811,EN,Y,28757,5274,151664418
A1066,EN,Y,28317,2726,77192142
A3317,E,Y,28167,3534,99542178
A4992,EN,Y,28134,4903,137941002
A5358,E,Y,27634,4449,122943666
A4894,EN,Y,27479,4926,135361554
A3919,E,Y,26558,3273,86924334
A4556,E,Y,26373,4066,107232618
A3677,E,Y,26255,4168,109430840
A4709,EN,Y,25774,5471,141009554
A5331,EN,Y,25714,4072,104707408
A4986,EN,Y,25243,5633,142193819
A2695,B,N,25119,4609,115773471
A2217,E,Y,25112,3542,88946704
A3283,B,N,25045,3880,97174600
A1175,E,Y,24518,5686,139409348
A1252,E,Y,24421,4487,109577027
A4945,E,Y,24260,3696,89664960
A4588,EN,Y,24086,3268,78713048
A5414,A,N,23993,2638,63293534
A4733,E,Y,23992,5227,125406184
A5344,A,N,23881,3099,74007219
A5045,EN,Y,23591,4959,116987769
A2019,E,Y,23355,3803,88819065
A2916,EN,Y,22911,4056,92927016
A5372,EN,Y,22813,3659,83472767
A5417,A,N,22625,4316,97649500
A3873,B,N,22454,5423,121768042
A2783,B,N,22436,3656,82026016
A4737,EN,Y,22137,4420,97845540
A5176,EN,Y,21930,6643,145680990
A4998,EN,Y,21919,3326,72902594
A3380,EN,Y,21913,4022,88134086
A4573,E,Y,21853,3605,78780065
A2809,EN,Y,21625,4258,92079250
A3840,E,Y,21488,3916,84147008
A5330,A,N,21431,9356,200508436
A3336,EN,Y,21249,3839,81574911
A3457,EN,Y,21249,4740,100720260
A5062,A,N,21150,3678,77789700
A5230,E,Y,21007,5297,111274079
A3783,EN,Y,20860,5198,108430280
A5329,A,N,20836,3167,65987612
A3899,EN,Y,20718,3877,80323686
A4937,EN,Y,20634,5947,122710398
A2309,E,Y,20534,5200,106776800
A3016,E,Y,20491,3277,67149007
A2506,E,Y,20350,3767,76658450
A3280,EN,Y,20005,4356,87141780
A5403,A,N,20000,3266,65320000
A4947,C,N,19799,6069,120160131
A1539,EN,Y,19769,5079,100406751
A3759,B,N,19666,3576,70325616
A5323,EN,Y,19397,2792,54156424
A1459,EN,Y,19338,4016,77661408
A4756,EN,Y,19183,4169,79973927
A2645,B,N,18823,5322,100176006
A2844,E,Y,18811,3438,64672218
A2600,E,Y,18750,3617,67818750
A3047,EN,Y,18743,4570,85655510
A2684,B,N,18694,3920,73280480
A2587,B,N,18632,4423,82409336
A2880,E,Y,18595,5894,109598930
A5357,EN,Y,18574,5933,110199542
A1403,E,Y,18533,3609,66885597
A2778,EN,Y,18476,4389,81091164
A3591,B,N,18471,5880,108609480
A4825,E,Y,18336,3220,59041920
A4856,EN,Y,18048,5123,92459904
A1522,E,Y,18009,3891,70073019
A3302,EN,Y,17912,2198,39370576
A4830,E,Y,17800,6376,113492800
A3739,D,N,17770,3614,64220780
A3632,E,Y,17492,5296,92637632
A3891,EN,Y,17473,5809,101500657
A2193,B,N,17296,2817,48722832
A4592,E,Y,17282,5060,87446920
A5116,EN,Y,17071,5275,90049525
A5365,EN,Y,17056,5012,85484672
A1242,E,Y,16870,5382,90794340
A5260,EN,Y,16788,4702,78937176
A5423,EN,Y,16681,3637,60668797
A5356,EN,Y,16551,5274,87289974
A3327,EN,Y,16423,6519,107061537
A5069,EN,Y,16361,7938,129873618
A2308,E,Y,16341,4574,74743734
A5226,E,Y,16187,3633,58807371
A4614,B,N,16183,3606,58355898
A4620,B,N,16092,4190,67425480
A5249,EN,Y,16071,6245,100363395
A3365,E,Y,16068,5200,83553600
A4776,EN,Y,16032,3399,54492768
A5407,EN,Y,15956,3671,58574476
A4618,E,Y,15926,4841,77097766
A5375,A,N,15908,4276,68022608
A5094,EN,Y,15853,1873,29692669
A3378,B,N,15819,4946,78240774
A4976,EN,Y,15680,5937,93092160
A3723,B,N,15624,4207,65730168
A5348,EN,Y,15464,2748,42495072
A1749,B,N,15439,4626,71420814
A2831,B,N,15367,2168,33315656
A4889,E,Y,15344,4974,76321056
A2272,EN,Y,15288,3883,59363304
A3318,EN,Y,15122,5031,76078782
A2299,B,N,14767,4930,72801310
A5411,A,N,14727,2477,36478779
A5341,A,N,14666,8169,119806554
A3621,B,N,14601,4004,58462404
A4777,EN,Y,14428,2131,30746068
A2000,E,Y,14384,4491,64598544
A5400,EN,Y,14289,4147,59256483
A3320,B,N,14233,4150,59066950
A3712,B,N,14183,5266,74687678
A5488,A,N,14131,6721,94974451
A5013,B,N,14129,6850,96783650
A5214,A,N,14054,3227,45352258
A4895,E,Y,14014,5498,77048972
A5003,E,Y,13912,3916,54479392
A2918,EN,Y,13775,3637,50099675
A4566,B,N,13771,2820,38834220
A4996,EN,Y,13765,4472,61557080
A3630,E,Y,13737,4672,64179264
A2097,EN,Y,13642,2718,37078956
A4757,EN,Y,13579,3304,44865016
A1199,EN,Y,13532,5643,76361076
A2909,EN,Y,13515,6519,88104285
A4551,E,Y,13446,3601,48419046
A4979,EN,Y,13410,3364,45111240
A5192,EN,Y,13369,3799,50788831
A4707,EN,Y,13291,4926,65471466
A1041,EN,Y,13286,6129,81429894
A3671,E,Y,13239,4908,64977012
A5177,EN,Y,13222,4721,62421062
A2202,B,N,13159,3789,49859451
A3476,B,N,13143,3242,42609606
A3287,B,N,13029,2573,33523617
A4516,E,Y,12878,5592,72013776
A5058,A,N,12800,4654,59571200
A5370,EN,Y,12754,3710,47317340
A3894,EN,Y,12719,4263,54221097
A5245,EN,Y,12686,5419,68745434
A3722,B,N,12681,4986,63227466
A4799,EN,Y,12657,3605,45628485
A5002,EN,Y,12651,2787,35258337
A4964,EN,Y,12480,7076,88308480
A3738,B,N,12472,4565,56934680
A5220,EN,Y,12460,7731,96328260
A3531,E,Y,12457,4646,57875222
A4988,EN,Y,12437,3387,42124119
A2021,E,Y,12418,4231,52540558
A2557,EN,Y,12403,4677,58008831
A4678,A,N,12351,6198,76551498
A3694,B,N,12338,4525,55829450
A2198,EN,Y,12310,4834,59506540
A5424,A,N,12185,3520,42891200
A2490,EN,Y,12157,4779,58098303
A4794,EN,Y,12137,5937,72057369
A4513,B,N,12091,2938,35523358
A2710,E,Y,12037,5531,66576647
A3554,B,N,12020,2682,32237640
A5349,EN,Y,12007,3413,40979891
A3599,B,N,12000,3653,43836000
A1131,EN,Y,11855,6290,74567950
A3477,E,Y,11829,2580,30518820
A3791,B,N,11747,4586,53871742
A1652,B,N,11692,2624,30679808
A5361,EN,Y,11649,5075,59118675
A5362,EN,Y,11646,4480,52174080
A2141,E,Y,11621,4656,54107376
A3623,B,N,11613,3932,45662316
A5056,EN,Y,11596,5056,58629376
A4654,E,Y,11529,3412,39336948
A3720,EN,Y,11527,4487,51721649
A3094,E,Y,11510,4794,55178940
A3799,B,N,11469,5568,63859392
A4943,A,N,11432,5584,63836288
A5304,EN,Y,11419,3987,45527553
A5363,EN,Y,11393,2859,32572587
A3797,B,N,11386,6728,76605008
A3696,B,N,11319,5185,58689015
A3714,B,N,11318,3531,39963858
A5364,EN,Y,11306,5454,61662924
A4885,A,N,11245,6043,67953535
A4984,A,N,11148,3127,34859796
A2207,EN,Y,11132,3518,39162376
A4862,EN,Y,11060,6362,70363720
A5148,B,N,11048,5002,55262096
A4960,E,Y,10948,6020,65906960
A3764,EN,Y,10866,5820,63240120
A3579,B,N,10855,5121,55588455
A3698,B,N,10855,3726,40445730
A5255,EN,Y,10767,5083,54728661
A5257,A,N,10760,2919,31408440
A5468,A,N,10726,4300,46121800
A5419,EN,Y,10722,4283,45922326
A5337,EN,Y,10680,4702,50217360
A4575,EN,Y,10533,3947,41573751
