collection_group,track,rev,hcc_agnd,hcc_agdu,pct_dual,qual_score,m001,m134,m236
eCQM,E,Low Revenue,1.01,1.003,6.04,75.29,32.41,35.54,75.39
WI,EN,High Revenue,1.088,1.095,8.93,85.37,6.55,93.41,85.15
WI,EN,Low Revenue,1.2,1.12,3.74,83.25,8.0,88.15,93.36
WI,EN,Low Revenue,1.195,1.285,2.86,93.34,3.07,90.6,94.59
WI,E,Low Revenue,0.993,0.944,11.55,80.37,9.87,62.03,76.52
WI,E,Low Revenue,0.974,0.867,7.63,86.21,9.62,76.58,80.95
WI,EN,High Revenue,1.052,1.103,12.63,87.61,6.95,86.02,85.06
WI,EN,Low Revenue,1.02,0.86,13.88,87.24,9.56,88.89,82.94
WI,EN,Low Revenue,1.19,1.319,2.26,87.89,7.69,84.54,81.39
WI,E,High Revenue,0.975,0.948,5.2,82.45,8.89,78.87,80.47
WI,EN,High Revenue,0.974,0.922,4.14,90.84,10.17,91.84,88.14
WI,EN,Low Revenue,1.002,1.035,8.11,93.28,7.55,90.03,84.04
WI,EN,High Revenue,1.056,1.163,4.75,92.87,6.61,94.44,82.21
WI,EN,High Revenue,0.987,0.987,4.62,93.23,8.15,89.84,85.38
WI,E,Low Revenue,1.077,1.004,5.65,85.23,5.74,82.43,79.54
WI,E,Low Revenue,1.031,1.071,6.49,94.86,3.43,94.05,91.86
WI,E,Low Revenue,1.095,1.162,6.44,83.09,10.84,76.49,75.38
WI,E,Low Revenue,0.989,0.953,5.63,83.6,8.21,85.47,77.57
WI,B,Low Revenue,0.966,0.949,6.89,84.27,8.73,84.96,80.64
WI,E,Low Revenue,0.876,0.757,3.64,85.59,6.14,80.27,87.73
WI,B,Low Revenue,0.981,0.987,3.91,82.31,4.96,91.07,80.92
WI,B,High Revenue,1.03,0.905,17.46,83.31,7.97,87.11,73.86
WI,E,High Revenue,1.021,0.934,11.14,85.92,8.42,78.66,78.1
WI,EN,Low Revenue,0.846,0.894,41.79,89.46,6.15,85.79,91.01
WI,EN,Low Revenue,0.962,0.838,10.57,96.65,10.41,89.78,84.87
WI,E,Low Revenue,1.059,1.178,4.84,89.6,5.48,93.68,88.66
WI,EN,High Revenue,0.99,1.092,6.16,90.53,8.25,86.75,89.77
WI,EN,High Revenue,1.047,1.065,3.87,89.28,7.86,80.13,80.2
WI,B,High Revenue,1.0,0.938,10.71,76.59,4.96,71.6,78.92
WI,E,Low Revenue,1.088,1.041,17.42,89.08,7.97,75.81,83.4
WI,EN,High Revenue,1.124,1.036,5.76,91.45,5.62,94.07,86.8
WI,EN,High Revenue,0.958,0.923,1.93,81.86,7.33,80.72,68.77
WI,E,High Revenue,1.073,1.106,9.57,83.54,5.67,64.71,81.37
WI,EN,Low Revenue,1.266,1.148,7.43,93.5,8.0,88.12,90.49
WI,EN,Low Revenue,0.828,0.736,19.09,85.53,14.94,98.26,78.28
WI,B,High Revenue,0.988,1.101,6.52,71.3,10.4,91.86,65.73
WI,EN,High Revenue,0.907,0.848,60.79,78.06,11.64,85.77,79.84
WI,E,High Revenue,0.988,0.912,4.44,89.39,7.61,72.64,80.85
WI,EN,Low Revenue,1.356,1.187,4.15,82.17,9.64,77.08,85.48
WI,C,Low Revenue,0.852,0.787,3.73,79.78,9.2,77.91,78.82
WI,B,Low Revenue,1.088,0.901,14.22,83.4,5.63,56.56,85.28
WI,E,Low Revenue,1.101,0.907,11.74,88.33,8.79,82.53,86.93
WI,E,High Revenue,0.989,1.042,3.04,88.32,6.65,69.57,80.61
WI,E,Low Revenue,1.013,0.973,4.0,90.65,9.14,80.86,74.5
WI,EN,High Revenue,1.02,1.028,6.01,83.57,5.81,87.69,82.21
WI,EN,High Revenue,0.936,0.849,1.6,90.26,7.88,65.87,80.08
WI,B,Low Revenue,0.889,1.156,4.23,88.38,3.63,95.62,91.19
WI,EN,Low Revenue,1.002,0.958,2.76,89.67,4.42,86.37,85.1
WI,B,High Revenue,0.817,0.695,7.41,81.42,10.51,86.7,75.77
WI,B,High Revenue,0.977,1.113,4.78,77.66,10.55,81.66,70.0
WI,EN,High Revenue,0.983,0.97,10.48,88.29,8.81,97.26,84.06
WI,EN,Low Revenue,1.022,0.95,5.31,87.46,9.23,75.69,83.2
WI,E,Low Revenue,1.112,1.218,7.07,95.69,3.7,96.76,98.43
WI,E,High Revenue,0.991,0.865,7.71,80.42,11.72,74.86,70.66
WI,E,Low Revenue,0.848,0.881,0.87,90.84,4.31,94.03,87.29
WI,B,Low Revenue,0.942,1.119,15.29,79.59,8.28,78.32,76.34
WI,E,Low Revenue,0.827,0.713,43.46,80.91,16.01,94.21,77.0
WI,EN,High Revenue,0.949,0.806,4.69,77.78,9.41,87.14,80.31
WI,B,Low Revenue,0.838,0.726,3.16,85.31,10.98,65.27,88.32
WI,B,High Revenue,0.963,0.955,15.78,71.44,8.28,81.74,79.06
WI,EN,Low Revenue,1.156,1.008,11.47,86.98,8.46,84.59,88.08
WI,EN,High Revenue,0.943,0.831,6.13,80.98,9.91,78.14,70.4
WI,E,Low Revenue,1.155,1.209,15.87,80.14,11.85,86.89,85.11
WI,E,High Revenue,0.904,0.9,3.13,91.6,5.22,86.04,88.19
WI,EN,High Revenue,0.884,0.733,6.99,84.78,8.44,88.65,86.96
WI,EN,High Revenue,1.008,0.939,3.56,90.92,9.48,91.17,74.92
eCQM,EN,High Revenue,1.155,1.097,4.71,75.6,20.91,74.12,73.89
WI,EN,High Revenue,1.158,1.062,14.93,84.05,5.13,95.54,83.22
WI,E,Low Revenue,0.871,0.811,2.26,79.91,8.64,89.1,78.15
WI,E,Low Revenue,0.842,0.696,2.59,93.12,9.64,83.27,84.29
WI,B,Low Revenue,1.05,0.955,7.91,86.89,5.86,87.07,83.66
WI,EN,High Revenue,1.059,0.993,8.07,84.3,9.48,85.71,80.0
WI,E,Low Revenue,0.936,0.969,16.24,76.63,9.72,71.16,91.0
WI,EN,High Revenue,1.095,0.954,6.33,89.01,5.19,77.62,78.3
WI,B,Low Revenue,0.921,1.171,86.08,80.98,15.28,83.88,86.49
WI,EN,Low Revenue,0.978,0.849,12.05,84.06,9.69,76.89,82.23
WI,EN,Low Revenue,1.068,1.045,4.55,82.71,7.14,86.3,76.08
eCQM,E,High Revenue,1.089,1.204,5.06,77.98,20.94,76.73,72.32
WI,B,High Revenue,0.918,0.978,8.12,79.42,4.75,84.29,74.09
WI,B,Low Revenue,0.842,0.777,5.35,87.97,5.7,89.51,74.0
WI,EN,High Revenue,0.983,0.94,2.62,94.24,5.62,94.23,84.57
WI,EN,Low Revenue,0.92,0.854,0.91,85.71,6.6,75.54,77.78
WI,EN,High Revenue,1.112,1.122,7.44,90.69,3.17,85.89,90.14
WI,EN,Low Revenue,1.189,1.033,1.55,94.31,3.83,95.45,88.45
WI,EN,Low Revenue,1.096,1.028,6.93,88.1,5.86,88.66,89.29
WI,A,High Revenue,0.971,1.005,11.17,85.32,7.63,64.77,74.81
WI,B,High Revenue,0.952,0.987,8.14,75.65,8.01,62.73,76.15
WI,B,High Revenue,0.9,0.856,5.41,77.7,12.93,71.57,74.69
WI,EN,High Revenue,1.232,1.297,2.96,84.34,4.81,86.49,77.0
WI,EN,High Revenue,1.025,0.889,6.98,83.93,7.91,65.94,91.45
WI,B,High Revenue,0.988,0.89,24.85,82.98,8.93,78.28,80.37
WI,B,High Revenue,0.969,0.896,16.97,77.97,8.02,80.4,85.27
WI,EN,High Revenue,1.08,1.101,5.24,88.15,9.2,90.38,87.82
WI,B,High Revenue,0.926,1.004,12.34,72.1,13.48,85.49,77.86
WI,B,High Revenue,0.995,1.033,5.82,83.05,3.6,88.69,76.98
eCQM,B,Low Revenue,1.077,1.111,11.4,51.94,23.87,21.65,66.91
WI,D,Low Revenue,0.936,1.038,21.78,74.21,15.98,50.76,87.73
eCQM,EN,Low Revenue,0.997,1.049,6.18,75.13,18.87,92.79,77.79
WI,B,High Revenue,1.034,0.997,2.16,92.6,5.32,77.78,88.18
WI,EN,High Revenue,1.028,0.791,52.52,77.06,11.43,81.78,72.44
MIPS CQM,EN,Low Revenue,2.098,1.566,41.47,54.08,20.63,77.43,87.55
WI,B,Low Revenue,1.036,1.027,9.08,82.44,5.86,94.72,72.76
WI,B,Low Revenue,1.071,0.908,10.43,86.54,4.42,88.16,75.81
WI,B,High Revenue,0.992,1.163,16.42,82.91,8.89,75.91,84.85
WI,D,Low Revenue,1.025,0.79,2.65,85.62,7.6,87.94,85.94
WI,E,Low Revenue,0.983,0.984,5.6,87.65,8.76,90.98,83.59
WI,EN,High Revenue,1.131,1.139,4.09,89.46,6.03,81.53,82.1
WI,E,High Revenue,0.976,1.015,4.9,90.4,6.53,87.56,81.6
WI,B,Low Revenue,0.969,0.862,8.25,81.71,11.76,83.03,75.29
WI,B,High Revenue,0.985,1.023,4.75,78.28,13.5,73.66,67.77
WI,EN,Low Revenue,1.368,1.039,2.62,86.11,4.87,97.53,94.03
WI,EN,Low Revenue,1.073,1.015,2.06,93.7,2.3,96.42,88.11
WI,EN,High Revenue,0.995,1.004,2.56,98.69,4.84,97.05,82.14
WI,B,High Revenue,1.015,1.062,10.7,85.98,8.11,83.42,82.81
WI,EN,High Revenue,1.046,0.986,13.32,77.05,6.59,98.3,74.17
WI,EN,Low Revenue,1.01,0.902,13.53,77.05,16.38,97.03,78.34
WI,EN,Low Revenue,1.051,1.039,4.14,91.89,6.93,91.04,91.11
WI,EN,Low Revenue,0.962,0.925,0.67,95.18,4.32,94.23,89.06
WI,B,High Revenue,0.911,0.791,32.39,83.17,12.0,86.98,83.2
WI,E,Low Revenue,0.947,0.964,4.24,92.5,4.66,94.61,90.08
WI,E,High Revenue,1.12,1.124,12.28,94.03,5.96,90.94,80.22
WI,E,High Revenue,1.036,1.098,7.66,90.2,4.81,97.65,76.53
WI,EN,Low Revenue,1.158,0.998,1.29,85.36,4.67,87.31,88.54
WI,EN,Low Revenue,0.97,1.049,3.5,96.72,7.84,90.45,91.08
WI,EN,Low Revenue,1.073,1.012,6.39,92.06,6.21,90.61,88.2
WI,EN,Low Revenue,1.118,1.03,5.03,84.63,13.03,88.81,91.61
MIPS CQM,B,Low Revenue,1.071,0.935,3.84,77.05,24.41,51.4,68.37
MIPS CQM,EN,Low Revenue,1.915,1.226,83.3,77.21,8.47,91.99,89.52
WI,B,Low Revenue,1.018,1.001,4.84,87.32,7.6,94.82,71.54
WI,E,Low Revenue,0.996,0.954,5.03,89.32,9.09,86.33,69.29
WI,EN,High Revenue,0.996,0.916,4.0,94.26,6.64,92.21,86.69
WI,B,High Revenue,0.938,0.958,8.19,79.77,8.0,73.81,77.57
WI,EN,Low Revenue,1.054,1.071,5.81,89.93,7.21,90.15,92.18
WI,E,High Revenue,1.006,0.987,6.56,93.0,7.71,91.84,83.6
WI,E,Low Revenue,0.937,1.024,1.86,88.64,4.65,73.39,78.49
WI,B,High Revenue,0.914,0.861,12.99,82.87,7.66,79.27,70.16
WI,EN,Low Revenue,0.98,0.816,1.58,95.44,4.29,87.1,88.05
WI,E,Low Revenue,1.003,0.906,11.26,89.84,4.25,77.76,85.11
WI,EN,Low Revenue,0.995,0.948,3.25,91.69,3.12,96.0,90.91
WI,B,Low Revenue,0.929,0.817,3.09,83.25,11.23,86.39,68.59
WI,B,Low Revenue,0.925,1.074,30.87,80.38,9.07,61.32,84.33
